Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
53.0,2.0721461166512687,0.971296416150891,0.9591582073326634,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
81.0,2.901390426106238,-0.03636285244132303,0.041731357546224285,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
86.0,4.002149460515513,0.9514544665667882,0.9636818630918962,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
108.0,3.983482200629756,0.9850587558806597,0.04502373538208025,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
65.0,2.444421562094146,1.0089917686854633,0.9946005772957955,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
76.0,2.9239730734667364,0.9892244045099732,-0.03148670711613803,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
65.0,3.4675230342807257,0.9937474922023729,0.004190094737835812,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
127.0,4.088581940782504,0.04041586944937485,0.03729458358764083,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
108.0,3.964640586404151,0.98482554670233,0.02322248864095612,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
223.0,5.003758124348673,0.0013989489159810797,1.030656114786145,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
65.0,2.5406037917790356,1.0283653012741143,1.0158783366710717,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
67.0,1.9727259204758587,-0.010345721767872983,0.019227656451785244,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
58.0,3.0943564165441924,1.0122086700227872,0.034919565156531926,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
33.0,1.0924894589884222,1.0362363708746745,-0.025033199114081407,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
65.0,3.450356459165073,1.0449520623657642,-0.0010575036356859496,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
53.0,1.999449701178477,0.9647073480929038,0.9721209441819603,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
81.0,2.960175661963354,0.042658762516149445,0.04876680079966471,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
67.0,1.9569680988754936,-0.0007883706920461808,0.044405933968661326,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
72.0,2.4073773894709065,0.9758244388298958,-0.04605731886314941,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2513.8888888888887
58.0,3.0219128667959794,0.9959135756238261,0.020557517251568846,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
86.0,4.000535804645772,1.0480032575285476,1.0425248317415665,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
98.42,3.9102957502499978,0.999261809399287,0.9680575345127334,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
25.0,0.4557292928473223,0.9828751610287508,0.006794523055262944,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
65.0,2.581653177193331,1.0133400854316725,1.0415488297588043,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
77.0,2.9479123781333945,0.9740145618778193,-0.046605402141420116,6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,4740.25974025974
108.0,3.9289789744182446,0.9575863328108664,0.01974202672468399,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
98.42,3.997890552055513,0.9628879721910649,0.9797349007372551,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
81.0,3.09713009082212,-0.03719541610422276,0.042439619537653045,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
86.0,3.9484110543023,0.9651902693512294,1.0471058245165368,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
76.0,3.0344271094811757,0.963882717264941,0.04442664891134339,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
53.0,3.0523239230657433,1.0140874744803214,1.9974214216657464,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
53.0,1.94752750879848,0.9681880084399145,1.0362042650989314,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
223.0,5.045643269722372,-0.015433271667613678,1.034454939853507,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
